,noise_rate,alpha,success,performance,drift_name
214,0.05,0.5,False,12000,abrupt_covariate_noisy05
215,0.05,0.5,False,12000,gradual_concept_drift_noisy05
216,0.05,0.25,True,-1,nodrift_noisy05
217,0.05,0.25,True,91,stagger_short_noisy05
218,0.05,0.25,False,12000,sine1_short_noisy05
219,0.05,0.25,True,27,sine2_short_noisy05
220,0.05,0.25,True,1419,smooth_concept_drift_noisy05
221,0.05,0.25,False,12000,abrupt_concept_drift_noisy05
222,0.05,0.25,True,667,abrupt_covariate_noisy05
223,0.05,0.25,True,47,gradual_concept_drift_noisy05
224,0.05,0.1,True,-1,nodrift_noisy05
225,0.05,0.1,True,92,stagger_short_noisy05
226,0.05,0.1,True,25,sine1_short_noisy05
227,0.05,0.1,True,27,sine2_short_noisy05
228,0.05,0.1,True,1446,smooth_concept_drift_noisy05
229,0.05,0.1,False,12000,abrupt_concept_drift_noisy05
230,0.05,0.1,True,667,abrupt_covariate_noisy05
231,0.05,0.1,True,75,gradual_concept_drift_noisy05
232,0.05,0.01,True,-1,nodrift_noisy05
233,0.05,0.01,True,108,stagger_short_noisy05
234,0.05,0.01,True,27,sine1_short_noisy05
235,0.05,0.01,True,38,sine2_short_noisy05
236,0.05,0.01,True,1493,smooth_concept_drift_noisy05
237,0.05,0.01,True,142,abrupt_concept_drift_noisy05
238,0.05,0.01,True,1148,abrupt_covariate_noisy05
239,0.05,0.01,True,106,gradual_concept_drift_noisy05
240,0.05,0.001,True,-1,nodrift_noisy05
241,0.05,0.001,True,123,stagger_short_noisy05
242,0.05,0.001,True,36,sine1_short_noisy05
243,0.05,0.001,True,88,sine2_short_noisy05
244,0.05,0.001,True,1547,smooth_concept_drift_noisy05
245,0.05,0.001,True,174,abrupt_concept_drift_noisy05
246,0.05,0.001,True,1226,abrupt_covariate_noisy05
247,0.05,0.001,True,139,gradual_concept_drift_noisy05
248,0.05,0.0001,True,-1,nodrift_noisy05
249,0.05,0.0001,True,123,stagger_short_noisy05
250,0.05,0.0001,True,52,sine1_short_noisy05
251,0.05,0.0001,True,91,sine2_short_noisy05
252,0.05,0.0001,True,1597,smooth_concept_drift_noisy05
253,0.05,0.0001,True,187,abrupt_concept_drift_noisy05
254,0.05,0.0001,True,1500,abrupt_covariate_noisy05
255,0.05,0.0001,True,1035,gradual_concept_drift_noisy05
256,0.1,0.9999,False,-1,nodrift_noisy1
257,0.1,0.9999,False,12000,stagger_short_noisy1
258,0.1,0.9999,False,12000,sine1_short_noisy1
259,0.1,0.9999,True,27,sine2_short_noisy1
260,0.1,0.9999,False,12000,smooth_concept_drift_noisy1
261,0.1,0.9999,False,12000,abrupt_concept_drift_noisy1
262,0.1,0.9999,False,12000,abrupt_covariate_noisy1
263,0.1,0.9999,False,12000,gradual_concept_drift_noisy1
264,0.1,0.8,False,-1,nodrift_noisy1
265,0.1,0.8,False,12000,stagger_short_noisy1
266,0.1,0.8,False,12000,sine1_short_noisy1
267,0.1,0.8,True,27,sine2_short_noisy1
268,0.1,0.8,False,12000,smooth_concept_drift_noisy1
269,0.1,0.8,False,12000,abrupt_concept_drift_noisy1
270,0.1,0.8,False,12000,abrupt_covariate_noisy1
271,0.1,0.8,False,12000,gradual_concept_drift_noisy1
272,0.1,0.5,False,-1,nodrift_noisy1
273,0.1,0.5,False,12000,stagger_short_noisy1
274,0.1,0.5,True,16,sine1_short_noisy1
275,0.1,0.5,True,27,sine2_short_noisy1
276,0.1,0.5,True,1371,smooth_concept_drift_noisy1
277,0.1,0.5,False,12000,abrupt_concept_drift_noisy1
278,0.1,0.5,True,667,abrupt_covariate_noisy1
279,0.1,0.5,False,12000,gradual_concept_drift_noisy1
280,0.1,0.25,False,-1,nodrift_noisy1
281,0.1,0.25,True,107,stagger_short_noisy1
282,0.1,0.25,True,25,sine1_short_noisy1
283,0.1,0.25,True,30,sine2_short_noisy1
284,0.1,0.25,True,1419,smooth_concept_drift_noisy1
285,0.1,0.25,False,12000,abrupt_concept_drift_noisy1
286,0.1,0.25,True,678,abrupt_covariate_noisy1
287,0.1,0.25,False,12000,gradual_concept_drift_noisy1
288,0.1,0.1,False,-1,nodrift_noisy1
289,0.1,0.1,True,123,stagger_short_noisy1
290,0.1,0.1,True,27,sine1_short_noisy1
291,0.1,0.1,True,35,sine2_short_noisy1
292,0.1,0.1,True,1430,smooth_concept_drift_noisy1
293,0.1,0.1,True,187,abrupt_concept_drift_noisy1
294,0.1,0.1,True,1124,abrupt_covariate_noisy1
295,0.1,0.1,False,12000,gradual_concept_drift_noisy1
296,0.1,0.01,True,-1,nodrift_noisy1
297,0.1,0.01,True,123,stagger_short_noisy1
298,0.1,0.01,True,37,sine1_short_noisy1
299,0.1,0.01,True,77,sine2_short_noisy1
300,0.1,0.01,True,1491,smooth_concept_drift_noisy1
301,0.1,0.01,True,253,abrupt_concept_drift_noisy1
302,0.1,0.01,True,2035,abrupt_covariate_noisy1
303,0.1,0.01,True,140,gradual_concept_drift_noisy1
304,0.1,0.001,True,-1,nodrift_noisy1
305,0.1,0.001,True,157,stagger_short_noisy1
306,0.1,0.001,True,58,sine1_short_noisy1
307,0.1,0.001,True,91,sine2_short_noisy1
308,0.1,0.001,True,1663,smooth_concept_drift_noisy1
309,0.1,0.001,True,300,abrupt_concept_drift_noisy1
310,0.1,0.001,True,2203,abrupt_covariate_noisy1
311,0.1,0.001,True,1291,gradual_concept_drift_noisy1
312,0.1,0.0001,True,-1,nodrift_noisy1
313,0.1,0.0001,True,184,stagger_short_noisy1
314,0.1,0.0001,True,91,sine1_short_noisy1
315,0.1,0.0001,True,102,sine2_short_noisy1
316,0.1,0.0001,True,2024,smooth_concept_drift_noisy1
317,0.1,0.0001,True,718,abrupt_concept_drift_noisy1
318,0.1,0.0001,True,2203,abrupt_covariate_noisy1
319,0.1,0.0001,True,1291,gradual_concept_drift_noisy1
320,0.5,0.9999,False,-1,nodrift_noisy5
321,0.5,0.9999,False,12000,stagger_short_noisy5
322,0.5,0.9999,False,12000,sine1_short_noisy5
323,0.5,0.9999,False,12000,sine2_short_noisy5
324,0.5,0.9999,False,12000,smooth_concept_drift_noisy5
325,0.5,0.9999,False,12000,abrupt_concept_drift_noisy5
326,0.5,0.9999,False,12000,abrupt_covariate_noisy5
327,0.5,0.9999,True,4571,gradual_concept_drift_noisy5
328,0.5,0.8,False,-1,nodrift_noisy5
329,0.5,0.8,False,12000,stagger_short_noisy5
330,0.5,0.8,False,12000,sine1_short_noisy5
331,0.5,0.8,False,12000,sine2_short_noisy5
332,0.5,0.8,False,12000,smooth_concept_drift_noisy5
333,0.5,0.8,False,12000,abrupt_concept_drift_noisy5
334,0.5,0.8,False,12000,abrupt_covariate_noisy5
335,0.5,0.8,True,4585,gradual_concept_drift_noisy5
336,0.5,0.5,False,-1,nodrift_noisy5
337,0.5,0.5,False,12000,stagger_short_noisy5
338,0.5,0.5,True,230,sine1_short_noisy5
339,0.5,0.5,False,12000,sine2_short_noisy5
340,0.5,0.5,False,12000,smooth_concept_drift_noisy5
341,0.5,0.5,False,12000,abrupt_concept_drift_noisy5
342,0.5,0.5,False,12000,abrupt_covariate_noisy5
343,0.5,0.5,True,5131,gradual_concept_drift_noisy5
344,0.5,0.25,True,-1,nodrift_noisy5
345,0.5,0.25,False,12000,stagger_short_noisy5
346,0.5,0.25,True,235,sine1_short_noisy5
347,0.5,0.25,False,12000,sine2_short_noisy5
348,0.5,0.25,False,12000,smooth_concept_drift_noisy5
349,0.5,0.25,False,12000,abrupt_concept_drift_noisy5
350,0.5,0.25,False,12000,abrupt_covariate_noisy5
351,0.5,0.25,True,5138,gradual_concept_drift_noisy5
352,0.5,0.1,True,-1,nodrift_noisy5
353,0.5,0.1,False,12000,stagger_short_noisy5
354,0.5,0.1,True,249,sine1_short_noisy5
355,0.5,0.1,False,12000,sine2_short_noisy5
356,0.5,0.1,False,12000,smooth_concept_drift_noisy5
357,0.5,0.1,False,12000,abrupt_concept_drift_noisy5
358,0.5,0.1,False,12000,abrupt_covariate_noisy5
359,0.5,0.1,False,12000,gradual_concept_drift_noisy5
360,0.5,0.01,True,-1,nodrift_noisy5
361,0.5,0.01,False,12000,stagger_short_noisy5
362,0.5,0.01,False,12000,sine1_short_noisy5
363,0.5,0.01,False,12000,sine2_short_noisy5
364,0.5,0.01,False,12000,smooth_concept_drift_noisy5
365,0.5,0.01,False,12000,abrupt_concept_drift_noisy5
366,0.5,0.01,False,12000,abrupt_covariate_noisy5
367,0.5,0.01,False,12000,gradual_concept_drift_noisy5
368,0.5,0.001,True,-1,nodrift_noisy5
369,0.5,0.001,False,12000,stagger_short_noisy5
370,0.5,0.001,False,12000,sine1_short_noisy5
371,0.5,0.001,False,12000,sine2_short_noisy5
372,0.5,0.001,False,12000,smooth_concept_drift_noisy5
373,0.5,0.001,False,12000,abrupt_concept_drift_noisy5
374,0.5,0.001,False,12000,abrupt_covariate_noisy5
375,0.5,0.001,False,12000,gradual_concept_drift_noisy5
376,0.5,0.0001,True,-1,nodrift_noisy5
377,0.5,0.0001,False,12000,stagger_short_noisy5
378,0.5,0.0001,False,12000,sine1_short_noisy5
379,0.5,0.0001,False,12000,sine2_short_noisy5
380,0.5,0.0001,False,12000,smooth_concept_drift_noisy5
381,0.5,0.0001,False,12000,abrupt_concept_drift_noisy5
382,0.5,0.0001,False,12000,abrupt_covariate_noisy5
383,0.5,0.0001,False,12000,gradual_concept_drift_noisy5
