,noise_rate,delta_d,success,performance,drift_name
208,0.05,0.5,False,4000,stagger_short_noisy05
209,0.05,0.5,True,27,sine1_short_noisy05
210,0.05,0.5,True,27,sine2_short_noisy05
211,0.05,0.5,True,251,smooth_concept_drift_noisy05
212,0.05,0.5,False,1500,abrupt_concept_drift_noisy05
213,0.05,0.5,True,623,abrupt_covariate_noisy05
214,0.05,0.5,False,2000,gradual_concept_drift_noisy05
215,0.05,0.5,False,-1,nodrift_noisy05
216,0.05,0.25,True,69,stagger_short_noisy05
217,0.05,0.25,True,30,sine1_short_noisy05
218,0.05,0.25,True,27,sine2_short_noisy05
219,0.05,0.25,True,379,smooth_concept_drift_noisy05
220,0.05,0.25,True,61,abrupt_concept_drift_noisy05
221,0.05,0.25,True,223,abrupt_covariate_noisy05
222,0.05,0.25,True,342,gradual_concept_drift_noisy05
223,0.05,0.25,False,-1,nodrift_noisy05
224,0.05,0.1,True,77,stagger_short_noisy05
225,0.05,0.1,True,36,sine1_short_noisy05
226,0.05,0.1,True,26,sine2_short_noisy05
227,0.05,0.1,True,503,smooth_concept_drift_noisy05
228,0.05,0.1,False,1500,abrupt_concept_drift_noisy05
229,0.05,0.1,True,79,abrupt_covariate_noisy05
230,0.05,0.1,True,264,gradual_concept_drift_noisy05
231,0.05,0.1,True,-1,nodrift_noisy05
232,0.05,0.01,True,123,stagger_short_noisy05
233,0.05,0.01,True,49,sine1_short_noisy05
234,0.05,0.01,True,33,sine2_short_noisy05
235,0.05,0.01,True,379,smooth_concept_drift_noisy05
236,0.05,0.01,True,87,abrupt_concept_drift_noisy05
237,0.05,0.01,False,2100,abrupt_covariate_noisy05
238,0.05,0.01,True,507,gradual_concept_drift_noisy05
239,0.05,0.01,True,-1,nodrift_noisy05
240,0.05,0.001,True,107,stagger_short_noisy05
241,0.05,0.001,True,67,sine1_short_noisy05
242,0.05,0.001,True,91,sine2_short_noisy05
243,0.05,0.001,True,523,smooth_concept_drift_noisy05
244,0.05,0.001,True,224,abrupt_concept_drift_noisy05
245,0.05,0.001,False,2100,abrupt_covariate_noisy05
246,0.05,0.001,True,1021,gradual_concept_drift_noisy05
247,0.05,0.001,True,-1,nodrift_noisy05
248,0.05,0.0001,True,154,stagger_short_noisy05
249,0.05,0.0001,True,91,sine1_short_noisy05
250,0.05,0.0001,True,91,sine2_short_noisy05
251,0.05,0.0001,True,845,smooth_concept_drift_noisy05
252,0.05,0.0001,True,120,abrupt_concept_drift_noisy05
253,0.05,0.0001,False,2100,abrupt_covariate_noisy05
254,0.05,0.0001,True,726,gradual_concept_drift_noisy05
255,0.05,0.0001,True,-1,nodrift_noisy05
256,0.1,0.9999,False,4000,stagger_short_noisy1
257,0.1,0.9999,False,2000,sine1_short_noisy1
258,0.1,0.9999,False,2000,sine2_short_noisy1
259,0.1,0.9999,False,2000,smooth_concept_drift_noisy1
260,0.1,0.9999,False,1500,abrupt_concept_drift_noisy1
261,0.1,0.9999,False,2100,abrupt_covariate_noisy1
262,0.1,0.9999,False,2000,gradual_concept_drift_noisy1
263,0.1,0.9999,False,-1,nodrift_noisy1
264,0.1,0.8,True,91,stagger_short_noisy1
265,0.1,0.8,False,2000,sine1_short_noisy1
266,0.1,0.8,True,27,sine2_short_noisy1
267,0.1,0.8,False,2000,smooth_concept_drift_noisy1
268,0.1,0.8,True,107,abrupt_concept_drift_noisy1
269,0.1,0.8,False,2100,abrupt_covariate_noisy1
270,0.1,0.8,False,2000,gradual_concept_drift_noisy1
271,0.1,0.8,False,-1,nodrift_noisy1
272,0.1,0.5,True,53,stagger_short_noisy1
273,0.1,0.5,True,59,sine1_short_noisy1
274,0.1,0.5,True,25,sine2_short_noisy1
275,0.1,0.5,True,503,smooth_concept_drift_noisy1
276,0.1,0.5,False,1500,abrupt_concept_drift_noisy1
277,0.1,0.5,True,63,abrupt_covariate_noisy1
278,0.1,0.5,True,460,gradual_concept_drift_noisy1
279,0.1,0.5,True,-1,nodrift_noisy1
280,0.1,0.25,True,108,stagger_short_noisy1
281,0.1,0.25,True,27,sine1_short_noisy1
282,0.1,0.25,True,27,sine2_short_noisy1
283,0.1,0.25,True,347,smooth_concept_drift_noisy1
284,0.1,0.25,True,75,abrupt_concept_drift_noisy1
285,0.1,0.25,True,488,abrupt_covariate_noisy1
286,0.1,0.25,True,507,gradual_concept_drift_noisy1
287,0.1,0.25,True,-1,nodrift_noisy1
288,0.1,0.1,True,111,stagger_short_noisy1
289,0.1,0.1,True,48,sine1_short_noisy1
290,0.1,0.1,True,35,sine2_short_noisy1
291,0.1,0.1,False,2000,smooth_concept_drift_noisy1
292,0.1,0.1,True,253,abrupt_concept_drift_noisy1
293,0.1,0.1,True,2015,abrupt_covariate_noisy1
294,0.1,0.1,True,507,gradual_concept_drift_noisy1
295,0.1,0.1,False,-1,nodrift_noisy1
296,0.1,0.01,True,112,stagger_short_noisy1
297,0.1,0.01,True,72,sine1_short_noisy1
298,0.1,0.01,True,40,sine2_short_noisy1
299,0.1,0.01,True,604,smooth_concept_drift_noisy1
300,0.1,0.01,True,98,abrupt_concept_drift_noisy1
301,0.1,0.01,True,2015,abrupt_covariate_noisy1
302,0.1,0.01,True,763,gradual_concept_drift_noisy1
303,0.1,0.01,True,-1,nodrift_noisy1
304,0.1,0.001,True,155,stagger_short_noisy1
305,0.1,0.001,True,79,sine1_short_noisy1
306,0.1,0.001,True,88,sine2_short_noisy1
307,0.1,0.001,True,891,smooth_concept_drift_noisy1
308,0.1,0.001,True,202,abrupt_concept_drift_noisy1
309,0.1,0.001,False,2100,abrupt_covariate_noisy1
310,0.1,0.001,True,1024,gradual_concept_drift_noisy1
311,0.1,0.001,True,-1,nodrift_noisy1
312,0.1,0.0001,True,155,stagger_short_noisy1
313,0.1,0.0001,True,121,sine1_short_noisy1
314,0.1,0.0001,True,115,sine2_short_noisy1
315,0.1,0.0001,True,891,smooth_concept_drift_noisy1
316,0.1,0.0001,True,376,abrupt_concept_drift_noisy1
317,0.1,0.0001,False,2100,abrupt_covariate_noisy1
318,0.1,0.0001,True,1147,gradual_concept_drift_noisy1
319,0.1,0.0001,True,-1,nodrift_noisy1
320,0.5,0.9999,True,507,stagger_short_noisy5
321,0.5,0.9999,False,2000,sine1_short_noisy5
322,0.5,0.9999,False,2000,sine2_short_noisy5
323,0.5,0.9999,False,2000,smooth_concept_drift_noisy5
324,0.5,0.9999,True,7,abrupt_concept_drift_noisy5
325,0.5,0.9999,False,2100,abrupt_covariate_noisy5
326,0.5,0.9999,False,2000,gradual_concept_drift_noisy5
327,0.5,0.9999,False,-1,nodrift_noisy5
328,0.5,0.8,False,4000,stagger_short_noisy5
329,0.5,0.8,False,2000,sine1_short_noisy5
330,0.5,0.8,True,589,sine2_short_noisy5
331,0.5,0.8,True,549,smooth_concept_drift_noisy5
332,0.5,0.8,False,1500,abrupt_concept_drift_noisy5
333,0.5,0.8,False,2100,abrupt_covariate_noisy5
334,0.5,0.8,False,2000,gradual_concept_drift_noisy5
335,0.5,0.8,False,-1,nodrift_noisy5
336,0.5,0.5,False,4000,stagger_short_noisy5
337,0.5,0.5,False,2000,sine1_short_noisy5
338,0.5,0.5,False,2000,sine2_short_noisy5
339,0.5,0.5,False,2000,smooth_concept_drift_noisy5
340,0.5,0.5,False,1500,abrupt_concept_drift_noisy5
341,0.5,0.5,False,2100,abrupt_covariate_noisy5
342,0.5,0.5,False,2000,gradual_concept_drift_noisy5
343,0.5,0.5,False,-1,nodrift_noisy5
344,0.5,0.25,False,4000,stagger_short_noisy5
345,0.5,0.25,False,2000,sine1_short_noisy5
346,0.5,0.25,False,2000,sine2_short_noisy5
347,0.5,0.25,False,2000,smooth_concept_drift_noisy5
348,0.5,0.25,False,1500,abrupt_concept_drift_noisy5
349,0.5,0.25,True,222,abrupt_covariate_noisy5
350,0.5,0.25,False,2000,gradual_concept_drift_noisy5
351,0.5,0.25,True,-1,nodrift_noisy5
352,0.5,0.1,False,4000,stagger_short_noisy5
353,0.5,0.1,False,2000,sine1_short_noisy5
354,0.5,0.1,False,2000,sine2_short_noisy5
355,0.5,0.1,False,2000,smooth_concept_drift_noisy5
356,0.5,0.1,False,1500,abrupt_concept_drift_noisy5
357,0.5,0.1,False,2100,abrupt_covariate_noisy5
358,0.5,0.1,False,2000,gradual_concept_drift_noisy5
359,0.5,0.1,True,-1,nodrift_noisy5
360,0.5,0.01,False,4000,stagger_short_noisy5
361,0.5,0.01,False,2000,sine1_short_noisy5
362,0.5,0.01,False,2000,sine2_short_noisy5
363,0.5,0.01,False,2000,smooth_concept_drift_noisy5
364,0.5,0.01,False,1500,abrupt_concept_drift_noisy5
365,0.5,0.01,False,2100,abrupt_covariate_noisy5
366,0.5,0.01,False,2000,gradual_concept_drift_noisy5
367,0.5,0.01,True,-1,nodrift_noisy5
368,0.5,0.001,False,4000,stagger_short_noisy5
369,0.5,0.001,False,2000,sine1_short_noisy5
370,0.5,0.001,False,2000,sine2_short_noisy5
371,0.5,0.001,False,2000,smooth_concept_drift_noisy5
372,0.5,0.001,False,1500,abrupt_concept_drift_noisy5
373,0.5,0.001,False,2100,abrupt_covariate_noisy5
374,0.5,0.001,False,2000,gradual_concept_drift_noisy5
375,0.5,0.001,True,-1,nodrift_noisy5
376,0.5,0.0001,False,4000,stagger_short_noisy5
377,0.5,0.0001,False,2000,sine1_short_noisy5
378,0.5,0.0001,False,2000,sine2_short_noisy5
379,0.5,0.0001,False,2000,smooth_concept_drift_noisy5
380,0.5,0.0001,False,1500,abrupt_concept_drift_noisy5
381,0.5,0.0001,False,2100,abrupt_covariate_noisy5
382,0.5,0.0001,False,2000,gradual_concept_drift_noisy5
383,0.5,0.0001,True,-1,nodrift_noisy5
