,noise_rate,delta_d,success,performance,drift_name
344,0.5,0.25,False,6000,stagger_short_noisy5
345,0.5,0.25,False,3000,sine1_short_noisy5
346,0.5,0.25,False,3000,sine2_short_noisy5
347,0.5,0.25,False,3000,smooth_concept_drift_noisy5
348,0.5,0.25,False,3000,abrupt_concept_drift_noisy5
349,0.5,0.25,False,3000,abrupt_covariate_noisy5
350,0.5,0.25,False,3000,gradual_concept_drift_noisy5
351,0.5,0.25,True,-1,nodrift_noisy5
352,0.5,0.1,False,6000,stagger_short_noisy5
353,0.5,0.1,False,3000,sine1_short_noisy5
354,0.5,0.1,False,3000,sine2_short_noisy5
355,0.5,0.1,False,3000,smooth_concept_drift_noisy5
356,0.5,0.1,False,3000,abrupt_concept_drift_noisy5
357,0.5,0.1,False,3000,abrupt_covariate_noisy5
358,0.5,0.1,False,3000,gradual_concept_drift_noisy5
359,0.5,0.1,True,-1,nodrift_noisy5
360,0.5,0.01,False,6000,stagger_short_noisy5
361,0.5,0.01,False,3000,sine1_short_noisy5
362,0.5,0.01,False,3000,sine2_short_noisy5
363,0.5,0.01,False,3000,smooth_concept_drift_noisy5
364,0.5,0.01,False,3000,abrupt_concept_drift_noisy5
365,0.5,0.01,False,3000,abrupt_covariate_noisy5
366,0.5,0.01,False,3000,gradual_concept_drift_noisy5
367,0.5,0.01,True,-1,nodrift_noisy5
368,0.5,0.001,False,6000,stagger_short_noisy5
369,0.5,0.001,False,3000,sine1_short_noisy5
370,0.5,0.001,False,3000,sine2_short_noisy5
371,0.5,0.001,False,3000,smooth_concept_drift_noisy5
372,0.5,0.001,True,841,abrupt_concept_drift_noisy5
373,0.5,0.001,False,3000,abrupt_covariate_noisy5
374,0.5,0.001,False,3000,gradual_concept_drift_noisy5
375,0.5,0.001,True,-1,nodrift_noisy5
376,0.5,0.0001,False,6000,stagger_short_noisy5
377,0.5,0.0001,False,3000,sine1_short_noisy5
378,0.5,0.0001,False,3000,sine2_short_noisy5
379,0.5,0.0001,False,3000,smooth_concept_drift_noisy5
380,0.5,0.0001,False,3000,abrupt_concept_drift_noisy5
381,0.5,0.0001,False,3000,abrupt_covariate_noisy5
382,0.5,0.0001,False,3000,gradual_concept_drift_noisy5
383,0.5,0.0001,True,-1,nodrift_noisy5
